country_code,indicator_code,date,value,source_organization,source_dataset,source_status,release_status,observation_type
DE,GDP_PER_CAPITA_USD_A,2031,76425.902,IMF,World Economic Outlook,official,final,forecast
DE,GDP_REAL_GROWTH_YOY_A,2027,1.183,IMF,World Economic Outlook,official,final,forecast
DE,GDP_REAL_GROWTH_YOY_A,2028,1.196,IMF,World Economic Outlook,official,final,forecast
DE,GDP_REAL_GROWTH_YOY_A,2029,0.944,IMF,World Economic Outlook,official,final,forecast
DE,GDP_REAL_GROWTH_YOY_A,2030,0.655,IMF,World Economic Outlook,official,final,forecast
DE,GDP_REAL_GROWTH_YOY_A,2031,0.623,IMF,World Economic Outlook,official,final,forecast
DE,GDP_REAL_LCU_A,2027,3680937000000.0,IMF,World Economic Outlook,official,final,forecast
DE,GDP_REAL_LCU_A,2028,3724971000000.0,IMF,World Economic Outlook,official,final,forecast
DE,GDP_REAL_LCU_A,2029,3760139000000.0,IMF,World Economic Outlook,official,final,forecast
DE,GDP_REAL_LCU_A,2030,3784769000000.0,IMF,World Economic Outlook,official,final,forecast
DE,GDP_REAL_LCU_A,2031,3808349000000.0,IMF,World Economic Outlook,official,final,forecast
